Disease	Type
"Neuronal Intestinal Dysplasia, Type B"	"7,13"
Intellectual Developmental Disorder with Autism and Macrocephaly	"7,10,21"
Esophageal Atresia/tracheoesophageal Fistula	"7,16"
Gastric Leiomyoma	"7,19"
Jejunal Neoplasm	"7,19"
Liver Benign Neoplasm	"7,9,19"
Extrahepatic Bile Duct Adenoma	"7,9,19"
Bile Duct Mucoepidermoid Carcinoma	"7,9,19"
Vallecula Cancer	"7,19"
Duodenal Somatostatinoma	"7,13,19"
Extrahepatic Bile Duct Adenocarcinoma	"7,9,19"
Gallbladder Squamous Cell Carcinoma	"7,17,19"
"Developmental Delay, Hypotonia, and Impaired Language"	"7,10,13,21"
Gastric Small Cell Carcinoma	"7,19"
Rectum Signet Ring Adenocarcinoma	"7,19"
Medullary Colon Carcinoma	"7,19"
Duodenal Benign Neoplasm	"7,19"
Squamous Cell Bile Duct Carcinoma	"7,9,19"
Splenic Flexure Cancer	"7,19"
Liver Carcinoma in Situ	"7,9,19"
Adenosquamous Gallbladder Carcinoma	"7,19"
Gallbladder Sarcoma	"7,19"
Eosinophilic Colitis	"7,24"
Ileum Cancer	"7,19"
Bile Duct Mucinous Adenocarcinoma	"7,9,19"
Esophageal Basaloid Squamous Cell Carcinoma	"7,19"
Pylorus Cancer	"7,19"
Gastric Tubular Adenocarcinoma	"7,19"
Gastric Gastrinoma	"7,13,19"
Epstein-Barr Virus-Associated Gastric Carcinoma	"7,19,24"
Malignant Gastric Germ Cell Tumor	"7,19"
Undifferentiated Carcinoma of Stomach	"7,19,24"
Gastric Fundus Cancer	"7,19"
Gastrointestinal Anthrax	"7,22"
Spontaneous Intestinal Perforation	"7,24"
Esophagus Small Cell Carcinoma	"7,13,19"
Invasive Non-Typhoidal Salmonellosis	"7,22,24"
Fungal Gastritis	"7,22"
Esophageal Adenoid Cystic Carcinoma	"7,19"
Adenosquamous Bile Duct Carcinoma	"7,9,19"
Lower Lip Cancer	"7,14,19"
Mucinous Adenocarcinoma of the Appendix	"7,19,24"
Bile Duct Signet Ring Cell Carcinoma	"7,9,19"
Distal Biliary Tract Carcinoma	"7,9,19"
Anal Neuroendocrine Tumor	"7,13,19"
Gastric Linitis Plastica	"7,19,24"
Gluten Allergy	"7,8"
Liver Fibroma	"7,9,19"
Undifferentiated Carcinoma of Esophagus	"7,19,24"
Primary Eosinophilic Gastrointestinal Disease	"7,24"
Pharynx Squamous Cell Carcinoma	"7,14,19"
Crohn's Disease of the Esophagus	"7,17,24"
Bile Duct Rhabdomyosarcoma	"7,9,11,19"
Extrahepatic Biliary Papillomatosis	"7,9,19"
Endometriosis of Intestine	"7,15"
Neurofibroma of Gallbladder	"7,13,19"
Congenital Enterocyte Heparan Sulfate Deficiency	"7,24"
Mature Gastric Teratoma	"7,19"
"Diarrhea, Chronic, with Villous Atrophy"	"7,9,23,24"
Gallbladder Benign Neoplasm	"7,19"
Bile Duct Clear Cell Adenocarcinoma	"7,9,19"
Bile Duct Sarcoma	"7,9,19"
Biliary Tract Intraductal Papillary Mucinous Neoplasm	"7,9,19"
Intrahepatic Bile Duct Cystadenoma	"7,9,19"
Tonsillar Fossa Cancer	"7,19"
Extrahepatic Bile Duct Leiomyosarcoma	"7,9,11,19"
Extrahepatic Bile Duct Cystadenoma	"7,9,19"
Rectum Mucinous Adenocarcinoma	"7,19"
Ampulla of Vater Adenosquamous Carcinoma	"7,19"
Macrotrabecular Hepatoblastoma	"7,9,19"
Herpetic Gastritis	"7,22"
Small Bowel Fibrosarcoma	"7,19"
Ampulla of Vater Clear Cell Adenocarcinoma	"7,19"
Rectal Cloacogenic Carcinoma	"7,19"
Perianal Skin Paget's Disease	"7,17,19"
Postcricoid Region Cancer	"7,19"
Aryepiglottic Fold Cancer	"7,19"
Small Intestinal Vasoactive Intestinal Peptide Producing Tumor	"7,13,19"
Embryonal Extrahepatic Bile Duct Rhabdomyosarcoma	"7,9,11,19,20"
Retromolar Area Cancer	"7,14,19"
Rare Epithelial Tumor of Stomach	"7,24"
Extrahepatic Bile Duct Small Cell Adenocarcinoma	"7,9,19"
Rare Epithelial Tumor of Small Intestine	"7,24"
Aflatoxins-Related Hepatocellular Carcinoma	"7,9,19"
Mesenchymal Tumor of Small Intestine	"7,24"
Colonic L-Cell Glucagon-Like Peptide Producing Tumor	"7,19"
Small Intestinal L-Cell Glucagon-Like Peptide Producing Tumor	"7,19"
Papillary Extrahepatic Bile Duct Adenocarcinoma	"7,9,19"
Rare Epithelial Tumor of Colon	"7,24"
Rare Gastroesophageal Disease	"7,24"
Unclassified Intestinal Pseudoobstruction	"7,24"
Inherited Digestive Cancer-Predisposing Syndrome	"7,19,24"
Metabolic Disease with Intestinal Involvement	"7,23,24"
Rare Disease Involving Intestinal Motility	"7,24"
Syndromic Autoimmune Enteropathy	"7,24"
Peritoneal Mesothelioma	"7,19,24"
Mediastinum Leiomyosarcoma	"7,11,19"
Hepatocellular Carcinoma	"7,9,19,21,24"
Hirschsprung Disease 1	"7,11,13,20,21,24"
Gastric Adenocarcinoma	"7,19"
Desmoid Tumor	"7,11,19,21,24"
Depressive Disorder	"7,10,13"
Barrett Esophagus	"7,9,19,21"
Fatty Liver Disease	"7,9,19,21,23"
Fibrolamellar Carcinoma	"7,9,19,24"
Mckusick-Kaufman Syndrome	"7,12,15,20,21,24"
Hepatoblastoma	"7,9,19,21,24"
Lymphoid Interstitial Pneumonia	"7,8,14,16,24"
Oral Submucous Fibrosis	"7,14,18,19,24"
Iron Overload in Africa	"7,8,9,19,21,23,24"
Gallbladder Disease	"7,9,12,21,23,24"
Tongue Carcinoma	"7,14,18,19,24"
Childhood Hepatocellular Carcinoma	"7,9,19,24"
Klatskin's Tumor	"7,9,19,24"
Ankyloglossia with or Without Tooth Anomalies	"7,14,18"
Macroglossia	"7,14,18,20,24"
Oropharynx Cancer	"7,14,19,24"
Gastroschisis	"7,9,16,20,24"
Intrahepatic Cholangiocarcinoma	"7,9,19,24"
"Segawa Syndrome, Autosomal Recessive"	"7,11,13,21,23,24"
Intestinal Benign Neoplasm	"7,19"
Anodontia	"7,10,14,17,24"
Pharynx Cancer	"7,14,19"
Cryptosporidiosis	"7,8,16,22,24"
Bile Duct Cysts	"7,9,24"
Gastroesophageal Adenocarcinoma	"7,19"
Oral Cavity Cancer	"7,14,19"
Tonsil Cancer	"7,8,19"
"Intestinal Pseudoobstruction, Neuronal, Chronic Idiopathic, X-Linked"	"7,13,14,21,24"
Tongue Disease	"7,14,18"
Lip Cancer	"7,14,19"
Geographic Tongue	"7,14,18,24"
Attenuated Familial Adenomatous Polyposis	"7,19,21,24"
Transverse Colon Cancer	"7,19"
Descending Colon Cancer	"7,19"
Metagonimiasis	"7,22,24"
Fissured Tongue	"7,14,18"
Bile Duct Adenoma	"7,9,19"
Small Intestinal Sarcoma	"7,19"
Hepatic Flexure Cancer	"7,9,19"
Gastric Diffuse Adenocarcinoma	"7,19"
Tonsil Squamous Cell Carcinoma	"7,8,19"
3-Hydroxy-3-Methylglutaryl-Coa Synthase Deficiency	"7,9,13,23,24"
Biliary Tract Benign Neoplasm	"7,9,19"
Duodenal Gastrinoma	"7,13,19"
Gallbladder Melanoma	"7,17,19"
Common Bile Duct Neoplasm	"7,9,19"
Actg2 Visceral Myopathy	"7,12,21,24"
Colon Squamous Cell Carcinoma	"7,17,19,24"
Hepatocellular Clear Cell Carcinoma	"7,9,19"
Sclerosing Hepatic Carcinoma	"7,9,19"
Gastric Body Carcinoma	"7,19"
Severe Immune-Mediated Enteropathy	"7,8,24"
Gallbladder Small Cell Carcinoma	"7,13,19"
Hypertrophy of Tongue Papillae	"7,14,18"
Sandifer Syndrome	"7,13,24"
Colon Carcinoma in Situ	"7,9,19"
Baylisascariasis	"7,13,22"
Gastrointestinal System Benign Neoplasm	"7,19"
Gastric Adenosquamous Carcinoma	"7,19"
Neurofibroma of the Esophagus	"7,13,19"
Mucinous Stomach Adenocarcinoma	"7,19"
Hyperphosphatasia with Impaired Intellectual Development Syndrome	"7,10,13,21"
Intrahepatic Biliary Papillomatosis	"7,9,19"
Gastric Cardia Carcinoma	"7,19"
Immunodeficiency 85 and Autoimmunity	"7,8,16,21"
Squamous Cell Carcinoma of the Small Intestine	"7,19,24"
Colon Small Cell Carcinoma	"7,13,19"
Colon Kaposi Sarcoma	"7,19"
Colon Sarcoma	"7,19"
Gastric Papillary Adenocarcinoma	"7,19"
Stomach Carcinoma in Situ	"7,19,24"
Rectum Malignant Melanoma	"7,17,19"
Idiopathic Malabsorption Due to Bile Acid Synthesis Defects	"7,9,23,24"
Small Intestine Carcinoid Neuroendocrine Tumor	"7,13,19"
Mixed Fibrolamellar Hepatocellular Carcinoma	"7,9,19"
Hereditary Neuroendocrine Tumor of Small Intestine	"7,13,19,24"
Ampulla of Vater Small Cell Carcinoma	"7,13,19"
Prp Systemic Amyloidosis	"7,12,13,24"
Lower Gum Cancer	"7,14,19"
Pyloric Antrum Cancer	"7,19"
Upper Gum Cancer	"7,14,19"
Submucosal Invasive Colon Adenocarcinoma	"7,19"
Malignant Gastric Granular Cell Tumor	"7,19"
Intestinal Neuroendocrine Benign Tumor	"7,13,19"
Gastric Pylorus Carcinoma	"7,19"
Rare Tumor of Intestine	"7,24"
Colon Signet Ring Adenocarcinoma	"7,19"
Rare Gastroesophageal Tumor	"7,24"
Paratyphoid Fever	"7,22,24"
Abdominal Tuberculosis	"7,8,22"
Tuberculous Peritonitis	"7,8,22"
Staphyloenterotoxemia	"7,22,24"
Fanconi-Bickel Syndrome	"7,9,12,13,21,23,24"
Juvenile Polyposis Syndrome	"7,19,20,21,24"
Muir-Torre Syndrome	"7,17,19,21,24"
"Porphyria, Acute Intermittent"	"7,9,12,13,17,21,23,24"
Nasopharyngeal Carcinoma	"7,14,16,19,21,24"
Primary Biliary Cholangitis	"7,8,9,21,24"
Hepatic Encephalopathy	"7,9,10,13,24"
Strongyloidiasis	"7,13,14,16,17,22,24"
Alveolar Echinococcosis	"7,9,13,16,22,24"
Caroli Disease	"7,9,12,20,24"
Fascioliasis	"7,9,16,22,24"
Chronic Atrial and Intestinal Dysrhythmia	"7,13,21,23,24"
Meconium Ileus	"7,20,21,24"
"Hepatic Adenomas, Familial"	"7,9,19,21"
Tongue Squamous Cell Carcinoma	"7,14,18,19"
"Polyposis, Skin Pigmentation, Alopecia, and Fingernail Changes"	"7,17,20,24"
Sessile Serrated Polyposis Cancer Syndrome	"7,19,21,24"
Gastrointestinal Neuroendocrine Tumor	"7,13,19"
Small Intestine Leiomyosarcoma	"7,11,19,24"
Bile Duct Cystadenocarcinoma	"7,9,19,24"
Anal Margin Carcinoma	"7,17,19"
Gastrocutaneous Syndrome	"7,17,24"
Anal Margin Squamous Cell Carcinoma	"7,17,19"
Phaeohyphomycosis	"7,13,16,22,24"
Anisakiasis	"7,8,22,24"
Oral Candidiasis	"7,14,15,22,24"
Anus Cancer	"7,8,19,24"
"Diarrhea 5, with Tufting Enteropathy, Congenital"	"7,21,24"
"Vas Deferens, Congenital Bilateral Aplasia of"	"7,15,16,20,21,24"
Tylosis with Esophageal Cancer	"7,14,17,19,21,24"
Paragonimiasis	"7,8,9,13,16,22,24"
Adenoid Basal Cell Carcinoma	"7,8,17,19"
Blue Diaper Syndrome	"7,12,21,23,24"
Lubani-Al Saleh-Teebi Syndrome	"7,10,13,21,24"
Familial Gastric Type 1 Neuroendocrine Tumor	"7,13,19,21,24"
"Hernia, Anterior Diaphragmatic"	"7,11,16,20,21,24"
Immunodeficiency-Centromeric Instability-Facial Anomalies Syndrome 1	"8,21,24"
"Lymphoma, Large-Cell, Immunoblastic"	"8,24"
Lymphocytic Choriomeningitis	"8,11,13,21,22"
"Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Negative, Nk Cell-Negative, Due to Adenosine Deaminase Deficiency"	"8,21"
"Combined Immunodeficiency, X-Linked"	"8,21"
Lymphoma Aids Related	"8,24"
Pauci-Immune Glomerulonephritis Without Anca	"8,12,24"
Human Immunodeficiency Virus Type 1	"8,21"
Immunodeficiency 72 with Autoinflammation and Lymphoproliferation	"8,9,21,22"
Immune Hydrops Fetalis	"8,20,24"
Immunodeficiency 26 with or Without Neurologic Abnormalities	"8,13,21"
Immunodeficiency 60 and Autoimmunity	"8,21"
Immunodeficiency 65 Viral Infections	"8,21,22"
Immune Dysregulation and Systemic Hyperinflammation Syndrome	"8,9,21"
"Lymphoblastic Leukemia, Acute, with Lymphomatous Features"	"8,19"
Immunodeficiency 105	"8,17,21"
Immunoglobulin a Deficiency 2	"8,21,24"
Immunodeficiency 86	"8,21"
Lymphosarcoma	"8,24"
Pauci-Immune Glomerulonephritis with Anca	"8,12,24"
Canomad Syndrome	"8,11,13,24"
Immunotactoid or Fibrillary Glomerulopathy	"8,12,24"
Immunodeficiency-Centromeric Instability-Facial Anomalies Syndrome 2	"8,10,13,21,24"
Immunodeficiency 106 Viral Infections	"8,16,21,22"
Immunodeficiency-Centromeric Instability-Facial Anomalies Syndrome 3	"8,21"
Immunodeficiency-Centromeric Instability-Facial Anomalies Syndrome 4	"8,21"
Immunodeficiency 109 with Lymphoproliferation	"8,21"
Congenital Human Immunodeficiency Virus	"8,20,24"
Non-Specific Autoimmune Brainstem Encephalitis with Characteristic Antibodies	"8,13,24"
Non-Specific Autoimmune Brainstem Encephalitis Without Characteristic Antibodies	"8,13,24"
Lymphogranuloma Venereum	"8,22,24"
Immunodeficiency 83 Viral Infections	"8,13,16,21,22"
"Alpha/beta T-Cell Lymphopenia with Gamma/delta T-Cell Expansion, Severe Cytomegalovirus Infection, and Autoimmunity"	"8,21"
"T-Cell Lymphopenia, Infantile, with or Without Nail Dystrophy, Autosomal Dominant"	"8,16,17,21,22"
Autoinflammation with Episodic Fever and Lymphadenopathy	"8,9,21"
Immunodeficiency 107 Invasive Staphylococcus Aureus Infection	"8,16,17,21"
Immunodeficiency 88	"8,21"
Angioimmunoblastic Lymphadenopathy with Dysproteinemia	"8,24"
"Ige Responsiveness, Atopic"	"8,21"
Hypotrichosis-Lymphedema-Telangiectasia Syndrome	"8,21"
Nmda Receptor Encephalitis	"8,13,16,24"
Asthma-Related Traits 2	"8,17,21"
Immunodeficiency 97 with Autoinflammation	"8,21"
Immunodeficiency 94 with Autoinflammation and Dysmorphic Facies	"8,21"
Immunodeficiency 84	"8,21"
Hatipoglu Immunodeficiency Syndrome	"8,21"
Severe Disseminated Cytomegalovirus Infection in Immunocompetent Patients	"8,22,24"
Immune-Complex Glomerulonephritis	"8,12"
Lymphoplasmacyte-Rich Meningioma	"8,13,19"
Immunoglobulin G Deficiency	"8,24"
Diffuse Infiltrative Lymphocytosis Syndrome	8
"Immunoglobulin E Concentration, Serum"	8
Non-Specific Autoimmune Cerebellar Ataxia Without Characteristic Antibodies	"8,13,24"
Immunodeficiency 87 and Autoimmunity	"8,21"
Immunodeficiency 92	"8,21,22"
Lymphocytic Hypophysitis	"8,24"
Immunodeficiency 89 and Autoimmunity	"8,21"
Epstein-Barr Virus-Associated Malignant Lymphoproliferative Disorder	"8,19,24"
T Cell Immunodeficiency Primary	"8,24"
Primary Tuberculous Lymphadenitis	"8,22,24"
"Immunodeficiency, Partial Combined, with Absence of Hla Determinants and Beta-2-Microglobulin from Lymphocytes"	8
Limbic Encephalitis with Lgi1 Antibodies	"8,24"
"Lymphopenic Hypergammaglobulinemia, Antibody Deficiency, Autoimmune Hemolytic Anemia, and Glomerulonephritis"	8
Cytomegalovirus Disease in Patients with Impaired Cell Mediated Immunity Deemed at Risk	"8,22,24"
Acute Transverse Myelitis with Anti-Mog Antibodies	"8,13,24"
Non-Specific Autoimmune Supratentorial Encephalitis with Characteristic Antibodies	"8,13,24"
Non-Specific Autoimmune Cerebellar Ataxia with Characteristic Antibodies	"8,13,24"
Non-Specific Autoimmune Supratentorial Encephalitis Without Characteristic Antibodies	"8,13,24"
Human Immunodeficiency Virus Infectious Disease	"8,22"
"B-Cell Immunodeficiency, Distal Limb Anomalies, and Urogenital Malformations"	"8,14,21"
Immunodeficiency 108 with Autoinflammation	"8,17,21"
Wandering Spleen	"8,11,24"
Abdominal Cystic Lymphangioma	"8,24"
"Autoimmune Disease, Multisystem, with Immune Dysregulation, X-Linked"	"8,21"
Macroglobulinemia	"8,19,21,23"
"Complement Component 3 Deficiency, Autosomal Recessive"	"8,21"
Pauci-Immune Glomerulonephritis	"8,12,24"
Lymphangiomatosis	"8,24"
Allergic Encephalomyelitis	"8,10,13,24"
Immunodeficiency 95	"8,16,21,22"
Lymphomatous Thyroiditis	"8,24"
Immunodeficiency 77	"8,16,17,21"
Zap70-Related Severe Combined Immunodeficiency	8
Immune System Organ Benign Neoplasm	"8,19"
"Immune Deficiency, Familial Variable"	"8,21,24"
Adenovirus Infection in Immunocompromised Patients	"8,22,24"
Cervical Lymphoepithelioma-Like Carcinoma	"8,15,19"
Primary Laryngeal Lymphangioma	"8,14,20,24"
Mpox	"8,22"
"Short Stature, Microcephaly, and Endocrine Dysfunction"	"8,21"
Paraneoplastic Syndromes	"8,13,19"
Post-Vaccinal Encephalitis	"8,13"
Wissler-Fanconi Syndrome	8
Warthin Tumor	"8,24"
Lymphohistiocytoid Mesothelioma	"8,16,19"
Carcinoma Showing Thymus-Like Differentiation	"8,19,24"
Immunoglobulin Heavy-and-Light Chain	"8,23"
Indolent B Cell Lymphoma	"8,24"
Diabetic Mastopathy	"8,24"
Immune-Mediated Cerebellar Ataxia	"8,13,24"
Immunoglobulin Switch Sequences	8
Immunoerythromyeloid Hypoplasia	8
Agenesis of the Corpus Callosum and Congenital Lymphedema	8
Myasthenia Gravis with Thymus Hyperplasia	8
Orbital Lymphangioma	"8,24"
Immunodeficiency with Defective T-Cell Response to Interleukin 1	8
"Chondroitin-6-Sulfaturia, Defective Cellular Immunity, Nephrotic Syndrome"	"8,12"
"Severe Combined Immunodeficiency, Atypical"	"8,24"
"Calcific Aortic Disease with Immunologic Abnormalities, Familial"	"8,21"
Lymphokine Deficiency	8
"Myelodysplasia, Immunodeficiency, Facial Dysmorphism, Short Stature, and Psychomotor Delay"	8
Acquired Monoclonal Ig Light Chain-Associated Fanconi Syndrome	"8,12,24"
"Immunodeficiency, X-Linked, with Deficiency of 115,000 Dalton Surface Glycoprotein"	8
"Immunoglobulin M, Level of"	8
Anti-Pit-1 Antibody Syndrome	"8,24"
Zap70-Related Combined Immunodeficiency	8
"Gamma-a-Globulin, Defect in Assembly of"	8
"Lymphoid System Deterioration, Progressive"	8
Immune Response to Synthetic Polypeptide--Irhgal	8
"Lymphoblastic Transformation, Intrinsic Defect in"	8
"Vulvovaginitis, Allergic Seminal"	8
"Lymphoblastic Transformation, Inhibition of"	8
Immune Response to Synthetic Polypeptide--Irtgal	8
"Inosine Phosphorylase Deficiency, Immune Defect Due to"	8
Infiltrating Bladder Lymphoepithelioma-Like Carcinoma	"8,12,19"
Alk+ Histiocytosis	"8,24"
"Immunoglobulin D Level in Plasma, Low"	8
"Lymphoma, Hodgkin, Y-Linked Pseudoautosomal"	"8,24"
Rare Genetic Immune Disease	"8,24"
"Diarrhea, Glucose-Stimulated Secretory, with Common Variable Immunodeficiency"	8
Immune Response to Synthetic Polypeptide--Irphegal	8
Genetic Immune Deficiency with Skin Involvement	"8,17,24"
Immune-Mediated Acquired Neuromuscular Junction Disease	"8,13,24"
Follicular Lymphoreticuloma	"8,24"
Epilepsy	"8,11,13,21,24"
Allergic Rhinitis	"8,16,21"
Vitiligo-Associated Multiple Autoimmune Disease Susceptibility 1	"8,17,21,24"
Pemphigus	"8,17,19,21,24"
Food Allergy	8
Histiocytosis	8
Miller Fisher Syndrome	"8,13,24"
Membranoproliferative Glomerulonephritis	"8,12,24"
C1 Inhibitor Deficiency	8
Bubonic Plague	"8,22,24"
Elephantiasis	8
Complement Component 6 Deficiency	"8,21"
Cardiac Sarcoidosis	8
Complement Component 7 Deficiency	"8,21"
Complement Deficiency	8
Progressive Relapsing Multiple Sclerosis	"8,13"
Norwegian Scabies	"8,17,22,24"
Letterer-Siwe Disease	"8,14"
Sick Building Syndrome	"8,16"
Phagocyte Bactericidal Dysfunction	"8,22"
Splenic Tuberculosis	"8,22"
Cardiac-Urogenital Syndrome	"8,16,20,21,24"
Neurosarcoidosis	8
Parainfluenza Virus Type 3	"8,24"
Splenic Sequestration	8
Virus-Associated Trichodysplasia Spinulosa	"8,17,22,24"
Splenic Abscess	8
"Autoimmune Disease of Eyes, Ear, Nose and Throat"	"8,13,14"
Cd45 Deficiency	8
Thunderstorm Triggered Asthma	"8,16"
Lambda 5 Deficiency	"8,21"
Nk Cell Deficiency	8
Interleukin-7 Receptor Alpha Deficiency	8
Complement Component 4b Deficiency	"8,21"
Fournier Gangrene	"8,15,24"
Neutrophil Actin Dysfunction	8
Autoimmune Disease of Exocrine System	8
Thymic Dysplasia	8
Spindle Cell Thymoma	"8,19"
Coronin-1a Deficiency	8
Autoimmune Disease of Urogenital Tract	8
Secretory Component Deficiency	8
Sarcoid Meningitis	8
Dendritic Cell Deficiency	8
Exercise-Induced Anaphylaxis	"8,24"
Postinfectious Encephalitis	"8,13"
Cd3zeta Deficiency	8
Pemphigus Gestationis	"8,17"
Amoebiasis Due to Free-Living Amoebae	"8,9,22,24"
Janus Kinase-3 Deficiency	"8,22"
Intrauterine Growth Retardation with Increased Mitomycin C Sensitivity	"8,24"
Autoimmune Oophoritis	"8,24"
Ectodermal Dysplasia and Immune Deficiency	8
"Monocyte, Dendritic Cell, and Nk Cell Deficiency"	8
Recombinase Activating Gene 1 Deficiency	8
Recombinase Activating Gene 2 Deficiency	8
Jaccoud's Syndrome	8
Attenuated Chediak-Higashi Syndrome	"8,13,24"
Hypercalcemic Sarcoidosis	8
"T Cell, B Cell, and Nk Cell Deficiency"	8
B Cell and Dendritic Cell Deficiency	8
"Lymphangiectasia, Pulmonary, Congenital"	"8,10,16,20,24"
"Lung Disease, Immunodeficiency, and Chromosome Breakage Syndrome"	"8,16,21,22"
Jessner Lymphocytic Infiltration of the Skin	"8,17,24"
Lymphoepithelioma-Like Carcinoma	"8,19"
Infective Dermatitis Associated with Htlv-1	"8,17,22,24"
Immunodeficiency 68	"8,13,21,22"
"Pulmonary Nodular Lymphoid Hyperplasia, Familial"	"8,16,21,24"
Progressive Multifocal Leukoencephalopathy	"8,13,19,22,24"
Pdgfrb-Associated Chronic Eosinophilic Leukemia	"8,9,19,24"
Lymphoepithelioma-Like Acinar Prostate Adenocarcinoma	"8,15,19"
Idiopathic Steroid-Resistant Nephrotic Syndrome with Sensitivity to Second-Line Immunosuppressive Therapy	"8,12,24"
"Immunodeficiency 74, Covid19-Related, X-Linked"	"8,16,21,22"
Littoral Cell Angioma of the Spleen	"8,14,19,24"
Breast Medullary Carcinoma	"8,19"
Acute Non Lymphoblastic Leukemia	"8,19,24"
Immunoskeletal Dysplasia with Neurodevelopmental Abnormalities	"8,10,13,21"
Immunodeficiency 100 with Pulmonary Alveolar Proteinosis and Hypogammaglobulinemia	"8,16,21,22"
Lymphoepithelial-Like Carcinoma	"8,19,24"
Rippling Muscle Disease with Myasthenia Gravis	"8,11,13,24"
Legionnaire Disease	"8,11,16,21,22,24"
Histoplasmosis	"8,16,22,24"
Amyotrophic Neuralgia	"8,13,21,22,24"
Genital Herpes	"8,15,22"
West Nile Virus	"8,13,21,22,24"
Irritant Dermatitis	"8,17"
Multiple Chemical Sensitivity	"8,10"
Multifocal Motor Neuropathy	"8,11,13,24"
Cercarial Dermatitis	"8,17,22,24"
Occupational Dermatitis	"8,17"
Pulmonary Plasma Cell Granuloma	"8,16"
Polyneuropathy Associated with Igm Monoclonal Gammopathy with Anti-Mag	"8,13,24"
Deep Dermatophytosis	"8,17,19,22,24"
Immunodeficiency Without Anhidrotic Ectodermal Dysplasia	"8,17,24"
Immune Deficiency with Skin Involvement	"8,17,24"
Drachtman Weinblatt Sitarz Syndrome	"8,13,24"
Malignant Lymphoma with Peripheral Neuropathy	"8,13,19,24"
Multiple Sclerosis	"8,13,21,24"
Peripheral Nervous System Disease	"8,11,13"
"Immunodeficiency with Hyper-Igm, Type 1"	"8,13,21,22,24"
Allergic Disease	8
Bullous Pemphigoid	"8,17,24"
Toxoplasmosis	"8,13,20,22,24"
Immunodeficiency 14	"8,21"
Relapsing-Remitting Multiple Sclerosis	"8,13"
Filariasis	"8,22,24"
Sleeping Sickness	"8,11,13,22,24"
Immune System Disease	8
Peanut Allergy	8
T Cell Deficiency	8
Lipid Storage Disease	"8,13,21,23,24"
Cutaneous Lupus Erythematosus	"8,17,24"
Multicentric Castleman Disease	"8,24"
Pollen Allergy	8
Cat-Scratch Disease	"8,17,22,24"
Iga Nephropathy 1	"8,12,21"
"Immunodeficiency, Common Variable, 2"	"8,21"
Drug Allergy	8
Immunodeficiency 36 with Lymphoproliferation	"8,16,21"
Farmer's Lung	"8,16,24"
Lymph Node Tuberculosis	"8,22"
Penicillin Allergy	8
Egg Allergy	8
Lymph Node Disease	8
Immunodeficiency 32b	"8,21,22,24"
Immunodeficiency 25	"8,21"
Podoconiosis	8
Diffuse Scleroderma	"8,17"
Limbic Encephalitis	"8,13,19,24"
Immunoglobulin Alpha Deficiency	"8,21"
Mannose-Binding Lectin Deficiency	"8,21"
Lichen Planopilaris	"8,14,17,24"
Cervical Adenitis	8
Persistent Generalized Lymphadenopathy	8
Polyclonal Hypergammaglobulinemia	"8,21,23"
Immunodeficiency 43	"8,21"
Cow Milk Allergy	8
Specific Granule Deficiency 1	"8,21"
Nut Allergy	8
"Histiocytoma, Angiomatoid Fibrous"	"8,17,19,21,24"
Immunodeficiency 45	"8,21,22"
Chordoid Glioma	"8,13,19,24"
Fruit Allergy	8
Dysgammaglobulinemia	8
Central Centrifugal Cicatricial Alopecia	"8,21,24"
Mesenteric Lymphadenitis	8
Anti-Basement Membrane Glomerulonephritis	"8,12,16"
Beta-Lactam Allergy	8
Dense Deposit Disease	"8,12,24"
Suppurative Lymphadenitis	8
Immunodeficiency 39	"8,21"
Wheat Allergy	8
Hyperproinsulinemia	"8,21"
Reticulohistiocytic Granuloma	"8,17,24"
Lymphocele	8
Generalized Lymphatic Anomaly	8
Latex Allergy	8
Complement Component 9 Deficiency	"8,17,21"
Co-Trimoxazole Allergy	8
Ectopic Thymus	8
Legume Allergy	8
Immunodeficiency 60	"8,21"
"Myelopathy, Htlv-1-Associated"	"8,21"
Selective Igg Deficiency Disease	8
Hemangioma of Spleen	8
Aspirin Allergy	8
Premature Chromatid Separation Trait	"8,15,21"
Autoimmune Disease of Musculoskeletal System	"8,11"
Pulmonary Non-Tuberculous Mycobacterial Infection	"8,16,22,24"
Bagassosis	"8,16"
Chlorhexidine Allergy	8
Complement Component 4a Deficiency	"8,21"
"Immunodeficiency, Common Variable, 3"	"8,21"
Immunodeficiency 37	"8,21"
Fish Allergy	8
Ceftazidime Allergy	8
Goat Milk Allergy	8
Phenytoin Allergy	8
Maple Bark Strippers' Lung	"8,16,22"
"Immunodeficiency, Common Variable, 6"	"8,21"
Chronic Nk-Cell Lymphocytosis	8
Axillary Adenitis	8
Cefaclor Allergy	8
Amoxicillin Allergy	8
Selective Immunoglobulin Deficiency Disease	8
Immunodeficiency 73c with Defective Neutrophil Chemotaxis and Hypogammaglobulinemia	"8,21"
Diclofenac Allergy	8
"Immunodeficiency, Common Variable, 14"	"8,21"
Immunodeficiency 53	"8,21"
Epithelioid Inflammatory Myofibroblastic Sarcoma	"8,19"
T Cell and Nk Cell Immunodeficiency	8
"Zinc Deficiency, Transient Neonatal"	"8,17,21"
"Immunodeficiency, Common Variable, 5"	"8,21"
Oxirane Allergy	8
Trimethoprim Allergy	8
Apple Allergy	8
Abacavir Allergy	8
Malignant Histiocytic Disease	"8,19"
